affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,Affair_status,Category,,,,,,,,
0,male,37,15,yes,3,20,6,4,NO,30-39,,,,,,,,
0,female,32,10,no,2,16,6,5,NO,30-39,,,,,,,,
0,female,32,10,yes,5,14,5,5,NO,30-39,,,,,,,,
0,male,37,1.5,yes,4,18,5,3,NO,30-39,,,,,,,,
0,male,32,1.5,no,2,18,4,4,NO,30-39,,,,,,,,
0,female,32,10,yes,4,14,1,4,NO,30-39,,,,,,,,
0,female,47,15,yes,4,18,5,4,NO,40-49,,,,,,,,
0,female,27,10,yes,5,12,1,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,3,16,4,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,12,4,2,NO,30-39,,,,,,,,
0,female,27,0.75,no,4,16,5,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,16,1,5,NO,30-39,,,,,,,,
0,female,32,15,yes,3,16,1,5,NO,30-39,,,,,,,,
0,female,27,10,yes,2,16,1,5,NO,20 - 29,,,,,,,,
0,male,27,7,no,2,20,6,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,2,14,1,3,NO,30-39,,,,,,,,
0,male,27,1.5,yes,2,17,4,4,NO,20 - 29,,,,,,,,
0,female,22,0.75,yes,2,14,1,5,NO,20 - 29,,,,,,,,
0,male,22,4,yes,4,14,2,4,NO,20 - 29,,,,,,,,
0,male,42,0.125,no,4,17,6,4,NO,40-49,,,,,,,,
0,male,27,1.5,yes,4,18,6,5,NO,20 - 29,,,,,,,,
0,male,27,7,yes,3,16,6,3,NO,20 - 29,,,,,,,,
0,female,52,15,yes,4,14,1,3,NO,50-59,,,,,,,,
0,male,27,1.5,no,5,20,5,2,NO,20 - 29,,,,,,,,
0,female,27,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,1.5,no,3,17,5,5,NO,20 - 29,,,,,,,,
0,male,22,0.125,no,5,16,4,4,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,16,1,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,12,1,5,NO,20 - 29,,,,,,,,
0,female,47,15,yes,2,14,5,5,NO,40-49,,,,,,,,
0,female,32,15,yes,3,14,5,3,NO,30-39,,,,,,,,
0,male,42,7,yes,2,16,5,5,NO,40-49,,,,,,,,
0,male,22,0.75,no,4,16,6,4,NO,20 - 29,,,,,,,,
0,male,27,0.125,no,3,20,6,5,NO,20 - 29,,,,,,,,
0,male,32,10,yes,3,20,6,5,NO,30-39,,,,,,,,
0,female,22,0.417,no,5,14,4,5,NO,20 - 29,,,,,,,,
0,female,47,15,yes,5,14,1,4,NO,40-49,,,,,,,,
0,female,32,10,yes,3,14,1,5,NO,30-39,,,,,,,,
0,male,57,15,yes,4,17,5,5,NO,50-59,,,,,,,,
0,male,27,4,yes,3,20,6,5,NO,20 - 29,,,,,,,,
0,female,32,7,yes,4,17,1,5,NO,30-39,,,,,,,,
0,female,37,10,yes,4,16,1,5,NO,30-39,,,,,,,,
0,female,32,10,yes,1,18,1,4,NO,30-39,,,,,,,,
0,female,22,4,no,3,14,1,4,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,14,3,2,NO,20 - 29,,,,,,,,
0,male,57,15,yes,5,18,5,2,NO,50-59,,,,,,,,
0,male,32,7,yes,2,18,5,5,NO,30-39,,,,,,,,
0,female,27,1.5,no,4,17,1,3,NO,20 - 29,,,,,,,,
0,male,22,1.5,no,4,14,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,4,14,5,4,NO,20 - 29,,,,,,,,
0,female,32,7,yes,3,16,1,5,NO,30-39,,,,,,,,
0,female,47,15,yes,3,16,5,4,NO,40-49,,,,,,,,
0,female,22,0.75,no,3,16,1,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,2,14,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,1,16,5,5,NO,20 - 29,,,,,,,,
